-----------------------------------
ORIGINAL
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     39      38      612      8:37
     71      47      469     11:15
     97      72      509     10:22
    134      83      544      9:42
    175     115      734      7:11
    208     126      491     10:45
    238     153      569      9:16
    277     158      555      9:30
    291     191      506     10:26
    306     220      460     11:28
    317     262      612      8:37
    330     294      487     10:50
    341     333      572      9:13
    344     368      495     10:39
    365     400      540      9:46
    397     411      477     11:04
    412     458      696      7:35
    428     496      582      9:04
    453     526      551      9:34
    469     555      467     11:18
    474     596      583      9:03
    500     617      471     11:12
    511     662      653      8:05
    511     697      494     10:41
    530     725      477     11:04
    559     752      559      9:26
    593     779      612      8:37
    614     808      505     10:27
    636     837      513     10:17
-----------------------------------
FILTERED
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     36      34      550      9:35
     69      52      530      9:57
    100      67      486     10:51
    135      90      591      8:56
    172     108      580      9:06
    207     131      591      8:56
    241     145      519     10:10
    268     167      491     10:45
    291     189      449     11:45
    304     224      527     10:01
    317     258      513     10:17
    329     296      562      9:23
    338     331      510     10:21
    350     367      535      9:52
    368     393      446     11:50
    391     423      533      9:54
    412     455      540      9:46
    431     493      599      8:48
    450     525      525     10:03
    465     559      524     10:04
    481     589      480     11:00
    495     625      545      9:41
    507     658      495     10:39
    517     694      527     10:01
    533     724      480     11:00
    560     752      549      9:37
    588     779      549      9:37
    614     808      549      9:37
    636     837      513     10:17
-----------------------------------
RECURSE  3.22% change
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     36      34      550      9:35
     69      52      530      9:57
    100      67      486     10:51
    135      90      591      8:56
    172     108      580      9:06
    207     131      591      8:56
    241     145      519     10:10
    268     167      491     10:45
    291     189      449     11:45
    304     224      527     10:01
    317     258      513     10:17
    329     296      562      9:23
    338     331      510     10:21
    350     367      535      9:52
    368     393      446     11:50
    391     423      533      9:54
    412     455      540      9:46
    431     493      599      8:48
    450     525      525     10:03
    465     559      524     10:04
    481     589      480     11:00
    495     625      545      9:41
    507     658      495     10:39
    517     694      527     10:01
    533     724      480     11:00
    560     752      549      9:37
    588     779      549      9:37
    614     808      549      9:37
    636     837      513     10:17
RECURSE  0.52% change
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     35      35      543      9:43
     68      51      517     10:12
    101      69      530      9:57
    135      88      549      9:37
    171     109      588      8:58
    206     128      562      9:23
    238     147      525     10:03
    266     167      485     10:53
    287     193      471     11:12
    304     223      486     10:51
    316     259      535      9:52
    328     295      535      9:52
    339     331      531      9:56
    352     363      487     10:50
    369     394      499     10:34
    390     423      505     10:27
    411     457      564      9:21
    431     491      556      9:29
    448     525      536      9:51
    465     557      511     10:19
    480     591      524     10:04
    494     624      506     10:26
    506     659      522     10:06
    519     692      500     10:33
    536     723      499     10:34
    560     751      520     10:09
    587     779      549      9:37
    612     808      540      9:46
    636     837      531      9:56
RECURSE  0.27% change
RECURSIVE FILTERED
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     34      35      530      9:57
     68      51      530      9:57
    101      69      530      9:57
    135      88      549      9:37
    170     108      569      9:16
    205     128      569      9:16
    236     147      513     10:17
    263     169      491     10:45
    285     194      470     11:14
    302     225      499     10:34
    316     259      519     10:10
    327     295      531      9:56
    339     329      509     10:22
    353     362      506     10:26
    370     393      499     10:34
    390     424      520     10:09
    410     457      544      9:42
    430     491      556      9:29
    448     524      530      9:57
    464     557      517     10:12
    479     590      511     10:19
    493     624      519     10:10
    506     658      513     10:17
    520     691      506     10:26
    538     722      506     10:26
    561     751      522     10:06
    586     779      529      9:58
    611     808      540      9:46
    636     837      540      9:46
-----------------------------------
ORIGINAL:            0.21 miles,  545 feet per minute,  9:41 minutes per mile
FILTERED:            0.21 miles,  527 feet per minute, 10:01 minutes per mile
RECURSIVE FILTERED:  0.20 miles,  523 feet per minute, 10:05 minutes per mile
