-----------------------------------
ORIGINAL
  x-pos   y-pos   ft/min  min/mile
      0      19        0       N/A
     39      38      612      8:37
     71      47      469     11:15
     97      72      509     10:22
    134      83      544      9:42
    175     115      734      7:11
    208     126      491     10:45
    238     153      569      9:16
    277     158      555      9:30
    291     191      506     10:26
    306     220      460     11:28
    317     262      612      8:37
    330     294      487     10:50
    341     333      572      9:13
    344     368      495     10:39
    365     400      540      9:46
    397     411      477     11:04
    412     458      696      7:35
    428     496      582      9:04
    453     526      551      9:34
    469     555      467     11:18
    474     596      583      9:03
    500     617      471     11:12
    511     662      653      8:05
    511     697      494     10:41
    530     725      477     11:04
    559     752      559      9:26
    593     779      612      8:37
    614     808      505     10:27
    636     837      513     10:17
    719     821     1193      4:25
    722     870      693      7:37
    735     917      688      7:40
    757     941      459     11:30
    787     963      525     10:03
    803    1000      569      9:16
    827    1029      531      9:56
    825    1070      579      9:07
    852    1099      559      9:26
    847    1138      555      9:30
    870    1168      533      9:54
    894    1191      469     11:15
    905    1238      681      7:45
    912    1271      476     11:05
    925    1309      566      9:19
    950    1336      519     10:10
    961    1367      464     11:22
    990    1386      489     10:47
   1019    1401      460     11:28
   1038    1428      466     11:19
   1075    1462      709      7:26
   1081    1496      487     10:50
   1093    1534      562      9:23
   1114    1569      576      9:09
   1098    1621      768      6:52
   1111    1653      487     10:50
   1119    1692      562      9:23
   1122    1726      481     10:58
   1131    1761      510     10:21
   1137    1803      598      8:49
   1140    1839      509     10:22
   1123    1868      474     11:08
   1136    1902      513     10:17
   1122    1944      625      8:26
   1134    1976      482     10:57
   1113    2024      739      7:08
   1120    2057      476     11:05
   1145    2078      460     11:28
   1126    2107      489     10:47
   1111    2149      629      8:23
   1084    2186      646      8:10
   1078    2227      584      9:02
   1067    2262      517     10:12
   1050    2298      562      9:23
   1044    2333      501     10:32
   1016    2369      643      8:12
    987    2395      549      9:37
    986    2434      550      9:35
    968    2472      593      8:54
    946    2513      656      8:02
    916    2557      751      7:01
    901    2601      656      8:02
    894    2639      545      9:41
    888    2683      626      8:26
    858    2727      751      7:01
    850    2769      603      8:45
    841    2811      606      8:42
    834    2849      545      9:41
    811    2881      556      9:29
    795    2918      569      9:16
    791    2959      581      9:05
    765    2991      582      9:04
    742    3019      511     10:19
    736    3052      473     11:09
    718    3090      593      8:54
    698    3144      812      6:30
    705    3182      545      9:41
    697    3220      548      9:38
    684    3257      553      9:32
    664    3287      509     10:22
    655    3327      578      9:08
    649    3372      640      8:15
    637    3409      549      9:37
    629    3445      520     10:09
    613    3479      530      9:57
    636    3509      533      9:54
    615    3544      576      9:09
    624    3585      592      8:55
    607    3620      549      9:37
    609    3657      523     10:05
    589    3685      485     10:53
    590    3722      522     10:06
    600    3777      789      6:41
    584    3817      608      8:41
    589    3851      485     10:53
    562    3882      580      9:06
    592    3907      551      9:34
    586    3946      557      9:28
    571    3983      563      9:22
    598    4019      635      8:18
    604    4056      529      9:58
    600    4091      497     10:37
    571    4140      803      6:34
    558    4188      702      7:31
    540    4218      493     10:42
    538    4264      650      8:07
    518    4299      569      9:16
    509    4337      551      9:34
    509    4372      494     10:41
    497    4410      562      9:23
    479    4438      469     11:15
    484    4481      611      8:38
    471    4515      513     10:17
    472    4551      508     10:23
    456    4588      569      9:16
    434    4621      559      9:26
    447    4661      593      8:54
    424    4691      533      9:54
    422    4727      509     10:22
    407    4770      642      8:13
    403    4828      820      6:26
    396    4879      726      7:16
    394    4924      635      8:18
    389    4996     1018      5:11
    386    5031      495     10:39
    407    5064      552      9:33
    385    5095      536      9:51
    378    5134      559      9:26
    398    5166      532      9:55
    389    5198      469     11:15
    389    5240      592      8:55
    384    5282      597      8:50
    373    5316      504     10:28
    381    5348      465     11:21
    393    5380      482     10:57
    398    5419      555      9:30
    409    5453      504     10:28
    407    5497      621      8:30
    395    5531      509     10:22
    381    5572      611      8:38
    391    5607      513     10:17
    409    5637      493     10:42
    413    5677      567      9:18
    424    5709      477     11:04
    454    5732      533      9:54
    467    5768      540      9:46
    462    5801      471     11:12
    466    5835      483     10:55
    495    5864      578      9:08
    505    5906      609      8:40
    509    5954      679      7:46
    513    5999      637      8:17
    521    6033      493     10:42
    552    6047      480     11:00
    573    6075      494     10:41
    593    6108      544      9:42
    588    6146      541      9:45
    611    6174      511     10:19
    631    6204      509     10:22
    666    6223      562      9:23
    698    6251      600      8:48
    734    6269      568      9:17
    767    6296      601      8:47
    797    6321      551      9:34
    832    6341      569      9:16
    866    6380      730      7:13
    884    6410      493     10:42
    915    6379      618      8:32
    922    6417      545      9:41
    954    6434      511     10:19
    999    6460      733      7:12
   1035    6470      527     10:01
   1070    6472      494     10:41
   1114    6470      621      8:30
   1147    6467      467     11:18
   1180    6491      576      9:09
   1210    6506      473     11:09
   1246    6515      523     10:05
   1280    6511      483     10:55
   1318    6516      541      9:45
   1333    6548      498     10:36
   1373    6566      619      8:31
   1389    6604      582      9:04
   1416    6623      466     11:19
   1438    6650      491     10:45
   1472    6667      536      9:51
   1505    6688      552      9:33
   1501    6730      595      8:52
   1481    6758      485     10:53
   1466    6794      550      9:35
   1456    6836      609      8:40
   1457    6872      508     10:23
   1443    6919      692      7:37
   1427    6952      517     10:12
   1397    6985      629      8:23
   1378    7020      562      9:23
   1405    7045      519     10:10
   1430    7070      499     10:34
   1400    7092      525     10:03
   1424    7130      634      8:19
   1409    7163      511     10:19
   1409    7203      564      9:21
   1443    7226      579      9:07
   1457    7262      545      9:41
   1436    7293      528     10:00
   1448    7340      684      7:43
   1465    7373      524     10:04
   1452    7406      500     10:33
   1459    7442      517     10:12
   1479    7489      721      7:19
   1488    7533      634      8:19
   1479    7572      565      9:20
   1473    7622      710      7:26
   1477    7657      497     10:37
   1503    7692      615      8:35
   1527    7717      489     10:47
   1552    7749      573      9:12
   1570    7777      469     11:15
   1591    7815      612      8:37
   1603    7857      616      8:34
   1633    7879      525     10:03
   1648    7911      498     10:36
   1657    7949      551      9:34
   1699    7988      809      6:31
   1732    7993      471     11:12
   1767    8028      698      7:33
   1812    8057      755      6:59
   1832    8086      497     10:37
   1850    8117      506     10:26
   1840    8155      554      9:31
   1843    8191      509     10:22
   1847    8229      539      9:47
   1837    8265      527     10:01
   1836    8301      508     10:23
   1824    8337      535      9:52
   1817    8384      670      7:52
   1813    8429      637      8:17
   1836    8458      522     10:06
   1857    8489      528     10:00
   1892    8501      522     10:06
   1911    8536      562      9:23
   1917    8580      626      8:26
   1930    8611      474     11:08
   1960    8630      501     10:32
   1986    8673      709      7:26
   1995    8708      510     10:21
